443.59,3.3664e-05,0.00011887,-5.1541e-05
443.82,3.3245e-05,0.00011845,-5.196e-05
444.04,3.2547e-05,0.00011775,-5.2658e-05
444.27,3.174e-05,0.00011694,-5.3464e-05
444.5,3.0956e-05,0.00011616,-5.4249e-05
444.72,3.0287e-05,0.00011549,-5.4918e-05
444.95,2.9787e-05,0.00011499,-5.5417e-05
445.18,2.9473e-05,0.00011468,-5.5732e-05
445.4,2.9321e-05,0.00011453,-5.5884e-05
445.63,2.927e-05,0.00011447,-5.5935e-05
445.86,3.0732e-05,0.00011436,-5.2895e-05
446.09,3.1005e-05,0.00011311,-5.1102e-05
446.31,2.9673e-05,0.00010989,-5.054e-05
446.54,2.7667e-05,0.00010545,-5.0112e-05
446.77,2.4823e-05,0.00010137,-5.1725e-05
446.99,1.9724e-05,9.4426e-05,-5.4977e-05
447.22,1.6946e-05,9.0895e-05,-5.7003e-05
447.45,1.5504e-05,8.863e-05,-5.7622e-05
447.67,1.3208e-05,8.5635e-05,-5.9218e-05
447.9,1.4248e-05,8.5511e-05,-5.7015e-05
448.13,1.6255e-05,8.6029e-05,-5.3519e-05
448.35,2.1358e-05,9.0413e-05,-4.7696e-05
448.58,2.512e-05,9.3829e-05,-4.359e-05
448.81,2.9512e-05,9.6813e-05,-3.7789e-05
449.04,3.1243e-05,9.7466e-05,-3.498e-05
449.26,3.2285e-05,9.7339e-05,-3.277e-05
449.49,2.9867e-05,9.4444e-05,-3.471e-05
449.72,3.0407e-05,9.495e-05,-3.4135e-05
449.94,3.0313e-05,9.3723e-05,-3.3097e-05
450.17,2.9344e-05,9.155e-05,-3.2862e-05
450.4,2.8016e-05,8.9284e-05,-3.3252e-05
450.62,2.8699e-05,8.8564e-05,-3.1166e-05
450.85,3.0235e-05,8.9892e-05,-2.9421e-05
451.08,3.142e-05,8.9856e-05,-2.7016e-05
451.3,3.3947e-05,9.1867e-05,-2.3972e-05
451.53,3.6773e-05,9.3665e-05,-2.012e-05
451.76,3.8048e-05,9.4666e-05,-1.8569e-05
451.99,3.9527e-05,9.5505e-05,-1.6451e-05
452.21,3.9364e-05,9.536e-05,-1.6632e-05
452.44,3.8412e-05,9.4213e-05,-1.7388e-05
452.67,3.5824e-05,9.1013e-05,-1.9364e-05
452.89,3.3417e-05,8.7494e-05,-2.066e-05
453.12,3.1246e-05,8.4763e-05,-2.2272e-05
453.35,2.7951e-05,8.1168e-05,-2.5265e-05
453.57,2.2767e-05,7.5998e-05,-3.0463e-05
453.8,1.8545e-05,7.1679e-05,-3.4589e-05
454.03,1.4527e-05,6.8054e-05,-3.9e-05
454.25,1.0264e-05,6.421e-05,-4.3682e-05
454.48,7.0712e-06,6.1806e-05,-4.7663e-05
454.71,4.6396e-06,5.9465e-05,-5.0186e-05
454.94,2.9127e-06,5.8564e-05,-5.2739e-05
455.16,1.9508e-06,5.767e-05,-5.3768e-05
455.39,2.5865e-06,5.8563e-05,-5.339e-05
455.62,3.9284e-06,6.0587e-05,-5.273e-05
455.84,6.151e-06,6.3682e-05,-5.138e-05
456.07,9.786e-06,6.7432e-05,-4.786e-05
456.3,1.3267e-05,7.1671e-05,-4.5138e-05
456.52,1.7039e-05,7.5489e-05,-4.141e-05
456.75,2.2089e-05,8.0649e-05,-3.6472e-05
456.98,2.7958e-05,8.7575e-05,-3.166e-05
457.2,3.433e-05,9.4702e-05,-2.6041e-05
457.43,4.1639e-05,0.00010227,-1.8991e-05
457.66,4.9949e-05,0.0001104,-1.0501e-05
457.88,5.7595e-05,0.00011813,-2.941e-06
458.11,6.5987e-05,0.00012691,5.0678e-06
458.34,7.1578e-05,0.00013183,1.1324e-05
458.57,7.7244e-05,0.00013739,1.7097e-05
458.79,8.0399e-05,0.00014032,2.0478e-05
459.02,8.2728e-05,0.0001432,2.2254e-05
459.25,8.4802e-05,0.00014589,2.3717e-05
459.47,8.7173e-05,0.00014843,2.5916e-05
459.7,8.9861e-05,0.0001516,2.8121e-05
459.93,9.4061e-05,0.0001563,3.1825e-05
460.15,9.9463e-05,0.00016188,3.7052e-05
460.38,0.00010559,0.00016832,4.287e-05
460.61,0.00011224,0.00017546,4.9011e-05
460.83,0.00012005,0.0001839,5.6198e-05
461.06,0.00012875,0.00019292,6.4575e-05
461.29,0.00013757,0.00020213,7.3015e-05
461.52,0.00014553,0.00021043,8.0635e-05
461.74,0.000153,0.00021871,8.7289e-05
461.97,0.00016002,0.00022652,9.3525e-05
462.2,0.0001686,0.00023598,0.00010122
462.42,0.00017669,0.00024438,0.00010901
462.65,0.00018619,0.00025461,0.00011777
462.88,0.00019451,0.00026301,0.00012601
463.1,0.00020233,0.00027167,0.00013299
463.33,0.00021011,0.00027988,0.00014033
463.56,0.00021757,0.00028673,0.00014842
463.78,0.0002239,0.00029413,0.00015367
464.01,0.00022996,0.00030058,0.00015933
464.24,0.00023586,0.00030653,0.00016519
464.47,0.00024006,0.0003106,0.00016951
464.69,0.00024279,0.00031384,0.00017175
464.92,0.00024464,0.00031531,0.00017397
465.15,0.00024723,0.00031781,0.00017664
465.37,0.00025133,0.00032231,0.00018035
465.6,0.00025514,0.0003262,0.00018409
465.83,0.00025931,0.00033026,0.00018835
466.05,0.00026335,0.00033419,0.0001925
466.28,0.00026629,0.00033704,0.00019554
466.51,0.00026911,0.00033958,0.00019865
466.73,0.00027047,0.0003407,0.00020023
466.96,0.00027101,0.00034132,0.0002007
467.19,0.00026919,0.00033931,0.00019907
467.42,0.00026616,0.00033549,0.00019683
467.64,0.00026236,0.00033132,0.00019341
