445.63,0.00015234
445.86,0.0001525
446.09,0.00015482
446.31,0.00015861
446.54,0.00016325
446.77,0.00016822
446.99,0.00017309
447.22,0.00017751
447.45,0.00018123
447.67,0.00018407
447.9,0.00018423
448.13,0.00018407
448.35,0.00018412
448.58,0.00018166
448.81,0.0001788
449.04,0.00017683
449.26,0.00017443
449.49,0.0001725
449.72,0.0001724
449.94,0.00017393
450.17,0.00017291
450.4,0.00017171
450.62,0.00016951
450.85,0.00016761
451.08,0.00016717
451.3,0.00016783
451.53,0.00016667
451.76,0.00016699
451.99,0.00016644
452.21,0.00016721
452.44,0.00016777
452.67,0.00016696
452.89,0.00016615
453.12,0.00016521
453.35,0.00016252
453.57,0.00015967
453.8,0.00015675
454.03,0.00015569
454.25,0.00015306
454.48,0.0001514
454.71,0.00014809
454.94,0.00014443
455.16,0.00014098
455.39,0.00013928
455.62,0.00013696
455.84,0.00013557
456.07,0.00013579
456.3,0.00013486
456.52,0.00013202
456.75,0.00012883
456.98,0.00012497
457.2,0.00012075
457.43,0.00011482
457.66,0.00010953
457.88,0.0001041
458.11,9.9674e-05
458.34,9.4141e-05
458.57,9.0343e-05
458.79,8.5749e-05
459.02,8.275e-05
459.25,8.0037e-05
459.47,7.6567e-05
459.7,7.2365e-05
459.93,6.756e-05
460.15,6.4428e-05
460.38,6.0352e-05
460.61,5.4343e-05
460.83,4.9926e-05
461.06,4.4815e-05
461.29,4.2144e-05
461.52,4.1009e-05
461.74,4.1628e-05
461.97,4.4073e-05
462.2,4.8718e-05
462.42,5.2635e-05
462.65,5.6642e-05
462.88,6.152e-05
463.1,6.6222e-05
463.33,6.911e-05
463.56,7.1614e-05
463.78,7.4158e-05
464.01,7.6921e-05
464.24,7.9773e-05
464.47,8.2585e-05
464.69,8.4074e-05
464.92,8.741e-05
465.15,8.9802e-05
465.37,9.3854e-05
465.6,9.7944e-05
465.83,0.00010113
466.05,0.00010427
466.28,0.00010812
466.51,0.00011091
466.73,0.00011277
466.96,0.00011501
467.19,0.00011616
467.42,0.00011587
467.64,0.00011572
467.87,0.00011328
468.1,0.00011159
468.32,0.00010878
468.55,0.00010548
468.78,0.0001028
469,0.0001002
469.23,9.7215e-05
469.46,9.4343e-05
469.68,9.1098e-05
469.91,8.6817e-05
470.14,8.0276e-05
470.36,7.2864e-05
470.59,6.5371e-05
470.82,5.7344e-05
471.05,5.1587e-05
471.27,4.6854e-05
471.5,4.3923e-05
471.73,4.4531e-05
471.95,4.6742e-05
472.18,5.1661e-05
472.41,5.6461e-05
472.63,6.0094e-05
472.86,6.2536e-05
473.09,6.2795e-05
473.31,6.1833e-05
473.54,5.9029e-05
473.77,5.7812e-05
474,5.6239e-05
474.22,5.5254e-05
474.45,5.4046e-05
474.68,5.3356e-05
474.9,5.3274e-05
475.13,5.3689e-05
475.36,5.4715e-05
475.58,5.5514e-05
475.81,5.6268e-05
476.04,5.6864e-05
476.26,5.7777e-05
476.49,5.8347e-05
476.72,5.7883e-05
476.95,5.6382e-05
477.17,5.4521e-05
477.4,5.3064e-05
477.63,5.0793e-05
477.85,4.8467e-05
478.08,4.5632e-05
478.31,4.3278e-05
478.53,4.0525e-05
478.76,3.8041e-05
478.99,3.6372e-05
479.21,3.4547e-05
479.44,3.3158e-05
479.67,3.2024e-05
479.9,3.1275e-05
480.12,3.1057e-05
480.35,3.0963e-05
480.58,3.2626e-05
480.8,3.4464e-05
481.03,3.5839e-05
481.26,3.593e-05
481.48,3.6054e-05
481.71,3.6118e-05
481.94,3.5684e-05
482.16,3.4911e-05
482.39,3.3862e-05
482.62,3.3021e-05
